***Game Begins***


***Game Stats***


***Game Stats***


Player_1 T Count 14 Army Count 1


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 2
New_Guinea 1




Player_2 T Count 14 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 2
New_Guinea 1




Player_2 T Count 14 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 4


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 2
New_Guinea 1




Player_2 T Count 14 Army Count 4


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 4


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 3


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 3
New_Guinea 1




Player_2 T Count 14 Army Count 3


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 3


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 2


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 2
India 3
New_Guinea 1




Player_2 T Count 14 Army Count 2


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 2


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 1


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 3
India 3
New_Guinea 1




Player_2 T Count 14 Army Count 1


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 1


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 4
India 3
New_Guinea 1




Player_2 T Count 14 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 15 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 3
New_Guinea 1
China 2




Player_2 T Count 13 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
Southeast_Asia 1
Western_Australia 2




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 2
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 1
Alberta 1




Player_2 T Count 1 Army Count 0


Indonesia 1




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 3


Alaska 2
Alberta 2




Player_2 T Count 1 Army Count 3


Indonesia 2




Player_3 T Count 39 Army Count 3


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 2


Alaska 2
Alberta 3




Player_2 T Count 1 Army Count 2


Indonesia 2




Player_3 T Count 39 Army Count 2


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 1


Alaska 2
Alberta 4




Player_2 T Count 1 Army Count 1


Indonesia 2




Player_3 T Count 39 Army Count 1


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 2 Army Count 0


Alaska 2
Alberta 5




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 39 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Northwest_Territory 1
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_1 T Count 3 Army Count 0


Alaska 2
Alberta 4
Northwest_Territory 1




Player_2 T Count 1 Army Count 0


Indonesia 2




Player_3 T Count 38 Army Count 0


Greenland 2
Eastern_Canada 3
Central_America 2
Brazil 2
Scandinavia 3
Northern_Europe 2
North_Africa 2
East_Africa 3
Ural 2
Irkutsk 4
Japan 2
Middle_East 2
Eastern_Australia 3
Ontario 1
Iceland 1
Eastern_United_States 1
Western_United_States 1
Venezuela 1
Peru 1
Argentina 1
Russia 1
Great_Britain 1
Western_Europe 1
Southern_Europe 1
Egypt 1
Central_Africa 1
South_Africa 1
Madagascar 1
Siberia 1
Afghanistan 1
China 2
Yakutsk 1
Mongolia 1
Kamchatka 1
India 3
Southeast_Asia 1
New_Guinea 1
Western_Australia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 4
Eastern_Canada 8
Central_America 4
Brazil 5
Scandinavia 6
Northern_Europe 5
North_Africa 4
East_Africa 6
Ural 4
Irkutsk 9
Japan 5
Middle_East 4
Eastern_Australia 6
Ontario 2
Iceland 2
Eastern_United_States 2
Western_United_States 3
Venezuela 2
Peru 4
Argentina 2
Russia 2
Great_Britain 4
Western_Europe 2
Southern_Europe 3
Egypt 3
Central_Africa 4
South_Africa 4
Madagascar 3
Siberia 2
Afghanistan 3
China 4
Yakutsk 3
Mongolia 3
Kamchatka 4
India 8
Western_Australia 4
Northwest_Territory 1
Southeast_Asia 2
New_Guinea 2
Alberta 4
Alaska 2
Indonesia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 4
Eastern_Canada 8
Central_America 4
Brazil 5
Scandinavia 6
Northern_Europe 5
North_Africa 4
East_Africa 6
Ural 4
Irkutsk 9
Japan 5
Middle_East 4
Eastern_Australia 6
Ontario 2
Iceland 2
Eastern_United_States 2
Western_United_States 3
Venezuela 2
Peru 4
Argentina 2
Russia 2
Great_Britain 4
Western_Europe 2
Southern_Europe 3
Egypt 3
Central_Africa 4
South_Africa 4
Madagascar 3
Siberia 2
Afghanistan 3
China 4
Yakutsk 3
Mongolia 3
Kamchatka 4
India 8
Western_Australia 4
Northwest_Territory 1
Southeast_Asia 2
New_Guinea 2
Alberta 4
Alaska 2
Indonesia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 4
Eastern_Canada 8
Central_America 4
Brazil 5
Scandinavia 6
Northern_Europe 5
North_Africa 4
East_Africa 6
Ural 4
Irkutsk 9
Japan 5
Middle_East 4
Eastern_Australia 6
Ontario 2
Iceland 2
Eastern_United_States 2
Western_United_States 3
Venezuela 2
Peru 4
Argentina 2
Russia 2
Great_Britain 4
Western_Europe 2
Southern_Europe 3
Egypt 3
Central_Africa 4
South_Africa 4
Madagascar 3
Siberia 2
Afghanistan 3
China 4
Yakutsk 3
Mongolia 3
Kamchatka 4
India 8
Western_Australia 4
Northwest_Territory 1
Southeast_Asia 2
New_Guinea 2
Alberta 4
Alaska 2
Indonesia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 4
Eastern_Canada 8
Central_America 4
Brazil 5
Scandinavia 6
Northern_Europe 5
North_Africa 4
East_Africa 6
Ural 4
Irkutsk 9
Japan 5
Middle_East 4
Eastern_Australia 6
Ontario 2
Iceland 2
Eastern_United_States 2
Western_United_States 3
Venezuela 2
Peru 4
Argentina 2
Russia 2
Great_Britain 4
Western_Europe 2
Southern_Europe 3
Egypt 3
Central_Africa 4
South_Africa 4
Madagascar 3
Siberia 2
Afghanistan 3
China 4
Yakutsk 3
Mongolia 3
Kamchatka 4
India 8
Western_Australia 4
Northwest_Territory 1
Southeast_Asia 2
New_Guinea 2
Alberta 4
Alaska 2
Indonesia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 4
Eastern_Canada 8
Central_America 4
Brazil 5
Scandinavia 6
Northern_Europe 5
North_Africa 4
East_Africa 6
Ural 4
Irkutsk 9
Japan 5
Middle_East 4
Eastern_Australia 6
Ontario 2
Iceland 2
Eastern_United_States 2
Western_United_States 3
Venezuela 2
Peru 4
Argentina 2
Russia 2
Great_Britain 4
Western_Europe 2
Southern_Europe 3
Egypt 3
Central_Africa 4
South_Africa 4
Madagascar 3
Siberia 2
Afghanistan 3
China 4
Yakutsk 3
Mongolia 3
Kamchatka 4
India 8
Western_Australia 4
Northwest_Territory 1
Southeast_Asia 2
New_Guinea 2
Alberta 4
Alaska 2
Indonesia 1




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 9
Eastern_Canada 16
Central_America 9
Brazil 12
Scandinavia 13
Northern_Europe 10
North_Africa 9
East_Africa 14
Ural 10
Irkutsk 21
Japan 11
Middle_East 10
Eastern_Australia 13
Ontario 5
Iceland 4
Eastern_United_States 5
Western_United_States 8
Venezuela 5
Peru 11
Argentina 6
Russia 5
Great_Britain 9
Western_Europe 5
Southern_Europe 7
Egypt 8
Central_Africa 10
South_Africa 8
Madagascar 6
Siberia 5
Afghanistan 6
China 10
Yakutsk 6
Mongolia 7
Kamchatka 8
India 18
Western_Australia 10
Northwest_Territory 3
Southeast_Asia 5
New_Guinea 4
Alberta 9
Alaska 5
Indonesia 3




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 19
Eastern_Canada 35
Central_America 18
Brazil 28
Scandinavia 26
Northern_Europe 21
North_Africa 19
East_Africa 29
Ural 21
Irkutsk 43
Japan 25
Middle_East 22
Eastern_Australia 28
Ontario 10
Iceland 8
Eastern_United_States 12
Western_United_States 18
Venezuela 11
Peru 24
Argentina 13
Russia 14
Great_Britain 18
Western_Europe 10
Southern_Europe 16
Egypt 17
Central_Africa 22
South_Africa 18
Madagascar 14
Siberia 11
Afghanistan 14
China 22
Yakutsk 14
Mongolia 14
Kamchatka 17
India 36
Western_Australia 22
Northwest_Territory 7
Southeast_Asia 10
New_Guinea 8
Alberta 18
Alaska 11
Indonesia 6




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 40
Eastern_Canada 71
Central_America 37
Brazil 58
Scandinavia 53
Northern_Europe 43
North_Africa 39
East_Africa 61
Ural 44
Irkutsk 88
Japan 53
Middle_East 44
Eastern_Australia 59
Ontario 21
Iceland 16
Eastern_United_States 24
Western_United_States 37
Venezuela 24
Peru 52
Argentina 27
Russia 28
Great_Britain 38
Western_Europe 22
Southern_Europe 32
Egypt 35
Central_Africa 44
South_Africa 37
Madagascar 30
Siberia 23
Afghanistan 28
China 45
Yakutsk 29
Mongolia 28
Kamchatka 34
India 73
Western_Australia 45
Northwest_Territory 16
Southeast_Asia 21
New_Guinea 21
Alberta 37
Alaska 26
Indonesia 13




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 81
Eastern_Canada 143
Central_America 74
Brazil 117
Scandinavia 106
Northern_Europe 87
North_Africa 79
East_Africa 122
Ural 89
Irkutsk 178
Japan 108
Middle_East 89
Eastern_Australia 118
Ontario 44
Iceland 32
Eastern_United_States 48
Western_United_States 75
Venezuela 48
Peru 105
Argentina 54
Russia 57
Great_Britain 76
Western_Europe 46
Southern_Europe 64
Egypt 72
Central_Africa 88
South_Africa 77
Madagascar 62
Siberia 47
Afghanistan 58
China 92
Yakutsk 59
Mongolia 56
Kamchatka 69
India 147
Western_Australia 91
Northwest_Territory 32
Southeast_Asia 44
New_Guinea 43
Alberta 74
Alaska 52
Indonesia 27




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 162
Eastern_Canada 288
Central_America 148
Brazil 234
Scandinavia 213
Northern_Europe 176
North_Africa 161
East_Africa 245
Ural 179
Irkutsk 359
Japan 217
Middle_East 179
Eastern_Australia 239
Ontario 89
Iceland 64
Eastern_United_States 98
Western_United_States 152
Venezuela 99
Peru 211
Argentina 110
Russia 116
Great_Britain 153
Western_Europe 93
Southern_Europe 130
Egypt 146
Central_Africa 178
South_Africa 156
Madagascar 125
Siberia 95
Afghanistan 117
China 186
Yakutsk 119
Mongolia 113
Kamchatka 141
India 296
Western_Australia 186
Northwest_Territory 64
Southeast_Asia 89
New_Guinea 86
Alberta 148
Alaska 104
Indonesia 59




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 327
Eastern_Canada 576
Central_America 296
Brazil 468
Scandinavia 426
Northern_Europe 352
North_Africa 324
East_Africa 491
Ural 358
Irkutsk 718
Japan 434
Middle_East 359
Eastern_Australia 478
Ontario 178
Iceland 128
Eastern_United_States 196
Western_United_States 306
Venezuela 198
Peru 424
Argentina 221
Russia 233
Great_Britain 307
Western_Europe 187
Southern_Europe 261
Egypt 295
Central_Africa 356
South_Africa 312
Madagascar 250
Siberia 191
Afghanistan 236
China 374
Yakutsk 240
Mongolia 226
Kamchatka 284
India 595
Western_Australia 374
Northwest_Territory 130
Southeast_Asia 178
New_Guinea 174
Alberta 296
Alaska 208
Indonesia 119




***Game Stats***


Player_3 T Count 42 Army Count 0


Greenland 654
Eastern_Canada 1152
Central_America 594
Brazil 936
Scandinavia 852
Northern_Europe 705
North_Africa 649
East_Africa 983
Ural 717
Irkutsk 1437
Japan 870
